lon,lat,event_no,index_start,index_peak,index_end,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_var,intensity_cumulative,intensity_mean_relThresh,intensity_max_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_mean_abs,intensity_max_abs,intensity_var_abs,intensity_cumulative_abs,rate_onset,rate_decline,event_name,category,p_moderate,p_strong,p_severe,p_extreme,season
-5.1458511,35.72916,72,10709,10713,10721,13,2011-04-27,2011-05-01,2011-05-09,1.1428,1.326,0.103,14.8564,0.2175,0.4064,0.1067,2.8271,17.8823,18.12,0.187,232.47,0.0922,0.0434,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,73,10735,10741,10748,14,2011-05-23,2011-05-29,2011-06-05,1.7076,1.9134,0.1436,23.9067,0.5472,0.7621,0.1557,7.6611,20.0721,20.44,0.3209,281.01,0.1141,0.0713,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,74,10756,10766,10769,14,2011-06-13,2011-06-23,2011-06-26,1.8804,2.8505,0.504,26.3258,0.6542,1.6419,0.516,9.1583,21.6721,22.86,0.6841,303.41,0.1703,0.472,Event 2011,II Strong,71,29,0,0,Fall
-5.1458511,35.72916,75,10807,10811,10813,7,2011-08-03,2011-08-07,2011-08-09,1.8529,2.2686,0.4079,12.9702,0.6312,1.0465,0.4047,4.4182,23.8957,24.33,0.4111,167.27,0.226,0.5267,NA,I Moderate,100,0,0,0,Winter
-5.1458511,35.72916,76,10889,10889,10893,5,2011-10-24,2011-10-24,2011-10-28,1.3694,1.5627,0.1386,6.847,0.1691,0.3308,0.1163,0.8455,19.854,20.17,0.2277,99.27,0.4071,0.1076,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,77,11527,11528,11531,5,2013-07-23,2013-07-24,2013-07-27,1.7584,2.0722,0.37,8.7919,0.5967,0.9167,0.3744,2.9833,23.482,23.76,0.3543,117.41,0.6544,0.3156,NA,I Moderate,100,0,0,0,Winter
-5.1458511,35.72916,78,11574,11576,11579,6,2013-09-08,2013-09-10,2013-09-13,1.607,1.953,0.1949,9.6418,0.4137,0.7635,0.2024,2.4822,23.11,23.48,0.2549,138.66,0.2583,0.3077,NA,I Moderate,100,0,0,0,Winter
-5.1458511,35.72916,79,11596,11624,11643,48,2013-09-30,2013-10-28,2013-11-16,1.8468,2.4321,0.2973,88.6463,0.6122,1.3732,0.3221,29.3867,20.6194,22.34,0.906,989.73,0.0373,0.0687,Event 2013,II Strong,94,4,0,0,Spring
-5.1458511,35.72916,80,11807,11808,11811,5,2014-04-29,2014-04-30,2014-05-03,1.415,2.1483,0.4348,7.0751,0.4969,1.2315,0.4357,2.4846,18.06,18.75,0.4198,90.3,0.8726,0.2979,Event 2014a,II Strong,80,20,0,0,Fall
-5.1458511,35.72916,81,11816,11821,11822,7,2014-05-08,2014-05-13,2014-05-14,1.45,2.4478,0.6695,10.15,0.4603,1.4301,0.6533,3.2219,18.5771,19.68,0.7382,130.04,0.2707,1.3076,Event 2014b,II Strong,71,29,0,0,Fall
-5.1458511,35.72916,82,11879,11882,11886,8,2014-07-10,2014-07-13,2014-07-17,1.7967,2.3226,0.4124,14.3733,0.6441,1.1695,0.4073,5.1526,22.9988,23.5,0.342,183.99,0.3345,0.3193,Event 2014c,II Strong,88,12,0,0,Winter
